ip_address,ip_type
34.95.148.131/32,IPv4
34.95.164.249/32,IPv4
34.95.168.58/32,IPv4
34.95.209.169/32,IPv4
34.95.213.225/32,IPv4
34.95.253.129/32,IPv4
35.247.222.78/32,IPv4
38.224.134.0/24,IPv4
45.77.97.241/32,IPv4
52.67.255.165/32,IPv4
129.159.48.87/32,IPv4
140.82.27.226/32,IPv4
144.22.216.139/32,IPv4
150.230.84.126/32,IPv4
170.82.175.0/24,IPv4
170.84.29.208/29,IPv4
186.211.161.0/29,IPv4
186.211.188.192/28,IPv4
187.16.245.192/29,IPv4
187.85.159.176/29,IPv4
200.98.28.70/32,IPv4
200.189.173.48/28,IPv4
207.148.26.195/32,IPv4
207.246.123.237/32,IPv4
208.89.72.56/29,IPv4
