ip_address,ip_type,region
2a02:26f7:c6c0:49c5::/64,IPv6,MY-01
2a02:26f7:c6c0:49c9::/64,IPv6,MY-01
2a02:26f7:c6c0:49cf::/64,IPv6,MY-01
2a02:26f7:c6c0:49d2::/64,IPv6,MY-01
2a02:26f7:c6c0:49e0::/64,IPv6,MY-01
2a02:26f7:c6c0:49e1::/64,IPv6,MY-01
2a02:26f7:c6c0:49ee::/64,IPv6,MY-01
2a02:26f7:c6c4:49c5::/64,IPv6,MY-01
2a02:26f7:c6c4:49c9::/64,IPv6,MY-01
2a02:26f7:c6c4:49cf::/64,IPv6,MY-01
2a02:26f7:c6c4:49d2::/64,IPv6,MY-01
2a02:26f7:c6c4:49e0::/64,IPv6,MY-01
2a02:26f7:c6c4:49e1::/64,IPv6,MY-01
2a02:26f7:c6c4:49ee::/64,IPv6,MY-01
2a02:26f7:c6c5:49c5::/64,IPv6,MY-01
2a02:26f7:c6c5:49c9::/64,IPv6,MY-01
2a02:26f7:c6c5:49cf::/64,IPv6,MY-01
2a02:26f7:c6c5:49d2::/64,IPv6,MY-01
2a02:26f7:c6c5:49e0::/64,IPv6,MY-01
2a02:26f7:c6c5:49e1::/64,IPv6,MY-01
2a02:26f7:c6c5:49ee::/64,IPv6,MY-01
2a02:26f7:c6c8:49c5::/64,IPv6,MY-01
2a02:26f7:c6c8:49c9::/64,IPv6,MY-01
2a02:26f7:c6c8:49cf::/64,IPv6,MY-01
2a02:26f7:c6c8:49d2::/64,IPv6,MY-01
2a02:26f7:c6c8:49e0::/64,IPv6,MY-01
2a02:26f7:c6c8:49e1::/64,IPv6,MY-01
2a02:26f7:c6c8:49ee::/64,IPv6,MY-01
104.28.38.39/32,IPv4,MY-01
104.28.38.40/32,IPv4,MY-01
104.28.44.141/32,IPv4,MY-01
104.28.44.142/32,IPv4,MY-01
104.28.68.74/32,IPv4,MY-01
104.28.68.75/32,IPv4,MY-01
104.28.71.74/32,IPv4,MY-01
104.28.71.75/32,IPv4,MY-01
104.28.119.68/32,IPv4,MY-01
104.28.119.69/32,IPv4,MY-01
104.28.122.68/32,IPv4,MY-01
104.28.122.69/32,IPv4,MY-01
2606:54c0:4c40::/45,IPv6,MY-01
2606:54c3:0:18d0::/64,IPv6,MY-01
2a09:bac2:4c40::/45,IPv6,MY-01
2a09:bac3:4c40::/45,IPv6,MY-01
