ip_address,ip_type,service
34.73.62.161/32,IPv4,discord-media
34.74.100.84/32,IPv4,discord-api
34.74.113.139/32,IPv4,discord-media
34.75.19.245/32,IPv4,discord-media
34.138.20.118/32,IPv4,discord-media
34.138.218.50/32,IPv4,discord-api
34.139.115.226/32,IPv4,discord-api
34.148.171.212/32,IPv4,discord-api
35.190.130.193/32,IPv4,discord-api
35.196.132.85/32,IPv4,discord-media
35.227.34.53/32,IPv4,discord-media
35.227.62.178/32,IPv4,discord-media
35.231.24.24/32,IPv4,discord-api
35.231.179.220/32,IPv4,discord-api
35.237.4.214/32,IPv4,discord-media
35.237.58.227/32,IPv4,discord-api
35.237.169.55/32,IPv4,discord-media
35.243.226.206/32,IPv4,discord-media
104.196.23.152/32,IPv4,discord-media
104.196.222.45/32,IPv4,discord-media
