ip_address,ip_type,service
192.30.252.0/22,IPv4,api
185.199.108.0/22,IPv4,api
140.82.112.0/20,IPv4,api
143.55.64.0/20,IPv4,api
2a0a:a440::/29,IPv6,api
2606:50c0::/32,IPv6,api
20.201.28.148/32,IPv4,api
20.205.243.168/32,IPv4,api
20.87.245.6/32,IPv4,api
4.237.22.34/32,IPv4,api
4.228.31.149/32,IPv4,api
20.207.73.85/32,IPv4,api
20.27.177.116/32,IPv4,api
20.200.245.245/32,IPv4,api
20.175.192.149/32,IPv4,api
20.233.83.146/32,IPv4,api
20.29.134.17/32,IPv4,api
20.199.39.228/32,IPv4,api
20.217.135.0/32,IPv4,api
4.225.11.201/32,IPv4,api
4.208.26.200/32,IPv4,api
20.26.156.210/32,IPv4,api
