ip_address,ip_type,service
107.20.236.150/32,IPv4,perplexitybot
3.224.62.45/32,IPv4,perplexitybot
18.210.92.235/32,IPv4,perplexitybot
3.222.232.239/32,IPv4,perplexitybot
3.211.124.183/32,IPv4,perplexitybot
3.231.139.107/32,IPv4,perplexitybot
18.97.1.228/30,IPv4,perplexitybot
18.97.9.96/29,IPv4,perplexitybot
44.208.221.197/32,IPv4,perplexity-user
34.193.163.52/32,IPv4,perplexity-user
18.97.21.0/30,IPv4,perplexity-user
18.97.43.80/29,IPv4,perplexity-user
