ip_address,ip_type
1.178.1.0/24,IPv4
1.178.4.0/22,IPv4
1.178.8.0/22,IPv4
1.178.16.0/20,IPv4
1.178.64.0/23,IPv4
1.178.72.0/21,IPv4
1.178.88.0/21,IPv4
1.178.100.0/22,IPv4
1.178.172.0/23,IPv4
1.178.174.0/24,IPv4
1.179.2.0/23,IPv4
1.179.14.0/23,IPv4
1.179.60.0/23,IPv4
1.179.101.0/24,IPv4
1.179.102.0/23,IPv4
3.0.0.0/15,IPv4
3.2.0.0/22,IPv4
3.2.4.0/23,IPv4
3.2.8.0/21,IPv4
3.2.48.0/21,IPv4
3.2.56.0/22,IPv4
3.2.60.0/23,IPv4
3.2.64.0/19,IPv4
3.2.96.0/22,IPv4
3.2.100.0/23,IPv4
3.2.102.0/24,IPv4
3.3.0.0/23,IPv4
3.3.2.0/24,IPv4
3.3.5.0/24,IPv4
3.3.6.0/23,IPv4
3.3.8.0/21,IPv4
3.3.16.0/20,IPv4
3.3.32.0/23,IPv4
3.4.0.0/22,IPv4
3.4.4.0/24,IPv4
3.4.6.0/24,IPv4
3.4.8.0/23,IPv4
3.4.10.0/24,IPv4
3.4.12.1/32,IPv4
3.4.12.2/31,IPv4
3.4.12.4/31,IPv4
3.4.12.6/32,IPv4
3.4.12.11/32,IPv4
3.4.12.12/32,IPv4
3.4.12.15/32,IPv4
3.4.12.16/28,IPv4
3.4.12.32/29,IPv4
3.4.12.40/30,IPv4
3.4.12.44/31,IPv4
3.4.12.46/32,IPv4
3.4.12.49/32,IPv4
3.4.12.50/31,IPv4
3.4.12.52/30,IPv4
3.4.12.56/29,IPv4
3.4.12.64/29,IPv4
3.4.12.72/31,IPv4
3.4.12.74/32,IPv4
3.4.13.0/26,IPv4
3.4.13.64/27,IPv4
3.4.15.0/25,IPv4
3.4.15.128/28,IPv4
3.4.15.152/29,IPv4
3.4.15.160/27,IPv4
3.4.15.192/26,IPv4
3.4.16.0/20,IPv4
3.4.32.0/20,IPv4
3.5.0.0/18,IPv4
3.5.64.0/19,IPv4
3.5.96.0/20,IPv4
3.5.120.0/22,IPv4
3.5.126.0/23,IPv4
