ip_address,ip_type,service
3.7.35.0/25,IPv4,zoom
3.235.82.0/23,IPv4,zoom
3.235.96.0/23,IPv4,zoom
4.34.125.128/25,IPv4,zoom
4.35.64.128/25,IPv4,zoom
8.5.128.0/23,IPv4,zoom
15.220.80.0/24,IPv4,zoom
15.220.81.0/25,IPv4,zoom
18.254.23.128/25,IPv4,zoom
18.254.61.0/25,IPv4,zoom
20.203.158.80/28,IPv4,zoom
20.203.190.192/26,IPv4,zoom
50.239.202.0/23,IPv4,zoom
50.239.204.0/24,IPv4,zoom
52.61.100.128/25,IPv4,zoom
64.125.62.0/24,IPv4,zoom
64.211.144.0/24,IPv4,zoom
64.224.32.0/19,IPv4,zoom
65.39.152.0/24,IPv4,zoom
69.174.57.0/24,IPv4,zoom
69.174.108.0/22,IPv4,zoom
101.36.167.0/24,IPv4,zoom
101.36.170.0/23,IPv4,zoom
103.122.166.0/23,IPv4,zoom
111.33.115.0/25,IPv4,zoom
111.33.181.0/25,IPv4,zoom
115.110.154.192/26,IPv4,zoom
115.114.56.192/26,IPv4,zoom
115.114.115.0/26,IPv4,zoom
115.114.131.0/26,IPv4,zoom
120.29.148.0/24,IPv4,zoom
121.244.146.0/27,IPv4,zoom
134.224.0.0/16,IPv4,zoom
137.66.128.0/17,IPv4,zoom
144.195.0.0/16,IPv4,zoom
147.124.96.0/19,IPv4,zoom
149.137.0.0/17,IPv4,zoom
156.45.0.0/17,IPv4,zoom
159.124.0.0/16,IPv4,zoom
160.1.56.128/25,IPv4,zoom
161.199.136.0/22,IPv4,zoom
162.12.232.0/22,IPv4,zoom
162.255.36.0/22,IPv4,zoom
165.254.88.0/23,IPv4,zoom
166.108.64.0/18,IPv4,zoom
168.140.0.0/17,IPv4,zoom
170.114.0.0/16,IPv4,zoom
173.231.80.0/20,IPv4,zoom
192.204.12.0/22,IPv4,zoom
198.251.128.0/17,IPv4,zoom
202.177.207.128/27,IPv4,zoom
203.200.219.128/27,IPv4,zoom
204.80.104.0/21,IPv4,zoom
204.141.28.0/22,IPv4,zoom
206.247.0.0/16,IPv4,zoom
207.226.132.0/24,IPv4,zoom
209.9.211.0/24,IPv4,zoom
209.9.215.0/24,IPv4,zoom
213.19.144.0/24,IPv4,zoom
213.19.153.0/24,IPv4,zoom
213.244.140.0/24,IPv4,zoom
221.122.63.0/24,IPv4,zoom
221.122.64.0/24,IPv4,zoom
221.122.88.64/27,IPv4,zoom
221.122.88.128/25,IPv4,zoom
221.122.89.128/25,IPv4,zoom
221.123.139.192/27,IPv4,zoom
