ip_address,ip_type,service
13.105.117.0/24,IPv4,actions_macos
13.105.220.0/25,IPv4,actions_macos
13.105.220.128/27,IPv4,actions_macos
13.105.220.160/28,IPv4,actions_macos
13.105.220.176/29,IPv4,actions_macos
13.105.220.184/30,IPv4,actions_macos
13.105.220.188/31,IPv4,actions_macos
13.105.49.0/24,IPv4,actions_macos
