ip_address,ip_type,service
192.30.252.0/22,IPv4,copilot
185.199.108.0/22,IPv4,copilot
140.82.112.0/20,IPv4,copilot
143.55.64.0/20,IPv4,copilot
2a0a:a440::/29,IPv6,copilot
2606:50c0::/32,IPv6,copilot
20.85.130.105/32,IPv4,copilot
4.237.22.41/32,IPv4,copilot
4.228.31.153/32,IPv4,copilot
4.249.131.160/32,IPv4,copilot
20.199.39.224/32,IPv4,copilot
52.175.140.176/32,IPv4,copilot
52.140.63.241/32,IPv4,copilot
4.225.11.192/32,IPv4,copilot
20.250.119.64/32,IPv4,copilot
138.91.182.224/32,IPv4,copilot
13.107.5.93/32,IPv4,copilot
